Company,Image,employerprofile_employerrating_lq_zl,jobcard_seolink_r4hue_URL,Title,Location,Salary,Description,Salary1,mlxsm,Description2,dflex
Blu Omega LLC4.6 ★,https://media.glassdoor.com/sql/6871814/blu-omega-squareLogo-1647634906694.png,4.6 ★,"https://www.glassdoor.com/job-listing/data-scientist-blu-omega-llc-JV_KO0,14_KE15,28.htm?jl=1008912837720",Data Scientist,United States,$114K - $124K (Employer est.),"We are currently seeking a Data Scientist to develop advanced analytics in support of an Intelligence Community client, by providing data science and machine……",(Employer est.),,Data,16d
Excelacom3.2 ★,https://media.glassdoor.com/sql/269300/excelacom-squarelogo-1456940487830.png,3.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-excelacom-JV_KO0,14_KE15,24.htm?jl=1008623281639",Data Scientist,"Basking Ridge, NJ",$84K - $119K (Glassdoor est.),Strong verbal and written communication skills with the ability to interact with technical and non-technical personnel.…,(Glassdoor est.),,,30d+
Meta3.9 ★,https://media.glassdoor.com/sql/40772/meta-squareLogo-1636117276319.png,3.9 ★,"https://www.glassdoor.com/job-listing/ai-research-engineer-meta-JV_KO0,20_KE21,25.htm?jl=1008876599288",AI Research Engineer,"Seattle, WA",$151K - $199K (Glassdoor est.),"Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent……",(Glassdoor est.),,,30d+
"Shoptrue, Inc.",,,"https://www.glassdoor.com/job-listing/sr-data-scientist-machine-learning-shoptrue-inc-JV_KO0,34_KE35,47.htm?jl=1008913893192",Sr. Data Scientist - Machine Learning,Remote,,"Shoptrue gives every shopper her own one stop personal shop™, curated for you and by you; a singular destination where shoppers can explore thousands of leading……",,Easy Apply,,15d
"Modern Technology Solutions, Inc.4.8 ★",https://media.glassdoor.com/sql/341913/mtsi-squarelogo-1512683801539.png,4.8 ★,"https://www.glassdoor.com/job-listing/senior-data-analyst-sme-modern-technology-solutions-inc-JV_KO0,23_KE24,55.htm?jl=1008869982294",Senior Data Analyst SME,United States,,Summarize and Communicate analysis results to senior leaders and technical SME's. The Senior Data Analyst SME will perform data analyses using a wide variety of……,,,Data,30d+
,,,"https://www.glassdoor.com/job-listing/data-scientist-JV_KO0,14.htm?jl=1008929459831",Data Scientist,"Pasadena, CA",$72K - $132K (Employer est.),"The Data Scientist implements state of the art algorithms, apply off the shelf AI and date centric tools, as well as collect, maintain, and store user data.…",(Employer est.),,Data,5d
ANALYTOS,,,"https://www.glassdoor.com/job-listing/junior-data-scientist-analytos-JV_KO0,21_KE22,30.htm?jl=1006662452894",Junior Data Scientist,"Austin, TX",,A strong passion for empirical research and for answering hard questions with data. If you want to make meaningful contributions and reinvent the retail space……,,,data,30d+
Analytica3.5 ★,https://media.glassdoor.com/sql/374619/analytica-squarelogo-1424630467477.png,3.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-analytica-JV_KO0,14_KE15,24.htm?jl=1008928758287",Data Scientist,Remote,,"3+ years in data science, data engineering, as a statistician, or a related quantitative field. Bachelor's degree in Statistics, Mathematics, Physics, Computer……",,,data,6d
Amplify Consulting Partners4.8 ★,https://media.glassdoor.com/sql/2338304/amplify-consulting-partners-squareLogo-1662585825047.png,4.8 ★,"https://www.glassdoor.com/job-listing/sr-data-scientist-amplify-consulting-partners-JV_KO0,17_KE18,45.htm?jl=1008921172136",Sr. Data Scientist,Remote,,"Experience with data analysis, data engineering, data visualization. Masters degree in Data Science, Data Engineering, Mathematics, Computer Engineering,……",,,data,11d
Vedainfo4.1 ★,https://media.glassdoor.com/sql/271900/vedainfo-squarelogo.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-ad-tech-vedainfo-JV_KO0,22_KE23,31.htm?jl=1008821543924",Data Scientist - Ad Tech,"Santa Clara, CA",$70.00 Per Hour (Employer est.),"BSc in Computer Science/Engineering or related field with a focus on applied statistics, AI, machine learning or related fields. Ad-Tech: 2 years (Preferred).…",(Employer est.),Easy Apply,,30d+
Global Communications Group,,,"https://www.glassdoor.com/job-listing/senior-data-scientist-global-communications-group-JV_KO0,21_KE22,49.htm?jl=1008768826506",Senior Data Scientist,"New York, NY",$142K - $152K (Employer est.),Collaborate with other teams to develop innovative solutions. Develop and maintain data visualization tools. The ideal candidate will have extensive experience……,(Employer est.),Easy Apply,data,30d+
Drax Group3.2 ★,https://media.glassdoor.com/sql/37485/drax-group-squareLogo-1616753107204.png,3.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-drax-group-JV_KO0,14_KE15,25.htm?jl=1008935898454",Data Scientist,"Houston, TX",$68K - $107K (Glassdoor est.),"Ideally you will be a degree holder with a quantitative analysis background and a minimum of 2 years non-academic production data science experience, including……",(Glassdoor est.),,data,3d
Vanguard3.7 ★,https://media.glassdoor.com/sql/4084/vanguard-squareLogo-1612802515459.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-specialist-internal-audit-ai-ml-vanguard-JV_KO0,46_KE47,55.htm?jl=1008925916406","Data Scientist, Specialist - Internal Audit AI/ML","Malvern, PA",$80K - $110K (Glassdoor est.),"Undergraduate degree in Analytics, Applied Mathematics, Economics, Statistics or related analytical field of study or equivalent combination of training and……",(Glassdoor est.),,,8d
Kooth USA3.5 ★,https://media.glassdoor.com/sql/2495734/kooth-squarelogo-1600105244699.png,3.5 ★,"https://www.glassdoor.com/job-listing/head-of-us-data-science-kooth-usa-JV_KO0,23_KE24,33.htm?jl=1008896143350",Head of US Data Science,Remote,$240K - $260K (Employer est.),"Communicate complex concepts to both technical and non-technical stakeholders effectively - including clients, investors, our board and wider external audiences……",(Employer est.),,,23d
Tesla3.6 ★,https://media.glassdoor.com/sql/43129/tesla-squarelogo-1609189398200.png,3.6 ★,"https://www.glassdoor.com/job-listing/data-scientist-reliability-engineering-tesla-JV_KO0,38_KE39,44.htm?jl=1008666859122","Data Scientist, Reliability Engineering","Palo Alto, CA",$138K - $180K (Glassdoor est.),Apply statistical analysis to test (accelerated life) and field (life) data to inform reliability physics modeling/analyses and associated corrective actions.…,(Glassdoor est.),,data,30d+
Oak Ridge National Laboratory3.8 ★,https://media.glassdoor.com/sql/35237/oak-ridge-national-laboratory-squarelogo.png,3.8 ★,"https://www.glassdoor.com/job-listing/junior-data-scientist-oak-ridge-national-laboratory-JV_KO0,21_KE22,51.htm?jl=1008932749947",Junior Data Scientist,"Oak Ridge, TN",$63K - $99K (Glassdoor est.),"The position requires strong skills in computer science, data science, machine learning, with experience in conceptualizing and developing prototype code and……",(Glassdoor est.),,data,4d
Santee Cooper3.7 ★,https://media.glassdoor.com/sql/6458/santee-cooper-squarelogo.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-iii-analytics-specialist-data-engineeer-santee-cooper-JV_KO0,54_KE55,68.htm?jl=1008930543815",Data Scientist III* (Analytics Specialist/Data Engineeer),"Moncks Corner, SC",$81K - $121K (Glassdoor est.),"Performs complex data analysis uses statistical and business intelligence methodology to deliver to the organization data-driven, future-facing insights that……",(Glassdoor est.),,data,5d
